# {
#     "command": "/home/pjewell/majiq/env_3.8/bin/voila modulize output/build/splicegraph.sql output/heterogen/HepG2_SRSF4KD-HepG2_NT.het.voila output/heterogen/HepG2_SRSF4KD-K562_NT.het.voila output/heterogen/K562_NT-HepG2_NT.het.voila output/heterogen/K562_SRSF4KD-HepG2_NT.het.voila output/heterogen/K562_SRSF4KD-HepG2_SRSF4KD.het.voila output/heterogen/K562_SRSF4KD-K562_NT.het.voila -d output/modulized --overwrite",
#     "het_IQR_nonchanging_threshold": 0.1,
#     "het_changing_threshold": 0.2,
#     "het_nonchanging_threshold": 0.05,
#     "het_pvalue_changing_threshold": 0.05,
#     "het_pvalue_nonchanging_threshold": 0.05,
#     "voila_version": "2.2.0"
# }
module_id	gene_id	gene_name	seqid	strand	lsv_id	event_id	complex	denovo	reference_exon_coord	spliced_with	spliced_with_coord	junction_name	junction_coord	event_size	event_non_changing	event_changing	junction_changing	HepG2_SRSF4KD_het_median_psi	HepG2_NT_het_median_psi	HepG2_SRSF4KD-HepG2_NT_het_median_dpsi	HepG2_SRSF4KD-HepG2_NT_het_infoscore	HepG2_SRSF4KD-HepG2_NT_het_tnom	HepG2_SRSF4KD-HepG2_NT_het_ttest	HepG2_SRSF4KD-HepG2_NT_het_wilcoxon	K562_NT_het_median_psi	HepG2_SRSF4KD-K562_NT_het_median_dpsi	HepG2_SRSF4KD-K562_NT_het_infoscore	HepG2_SRSF4KD-K562_NT_het_tnom	HepG2_SRSF4KD-K562_NT_het_ttest	HepG2_SRSF4KD-K562_NT_het_wilcoxon	K562_NT-HepG2_NT_het_median_dpsi	K562_NT-HepG2_NT_het_infoscore	K562_NT-HepG2_NT_het_tnom	K562_NT-HepG2_NT_het_ttest	K562_NT-HepG2_NT_het_wilcoxon	K562_SRSF4KD_het_median_psi	K562_SRSF4KD-HepG2_NT_het_median_dpsi	K562_SRSF4KD-HepG2_NT_het_infoscore	K562_SRSF4KD-HepG2_NT_het_tnom	K562_SRSF4KD-HepG2_NT_het_ttest	K562_SRSF4KD-HepG2_NT_het_wilcoxon	K562_SRSF4KD-HepG2_SRSF4KD_het_median_dpsi	K562_SRSF4KD-HepG2_SRSF4KD_het_infoscore	K562_SRSF4KD-HepG2_SRSF4KD_het_tnom	K562_SRSF4KD-HepG2_SRSF4KD_het_ttest	K562_SRSF4KD-HepG2_SRSF4KD_het_wilcoxon	K562_SRSF4KD-K562_NT_het_median_dpsi	K562_SRSF4KD-K562_NT_het_infoscore	K562_SRSF4KD-K562_NT_het_tnom	K562_SRSF4KD-K562_NT_het_ttest	K562_SRSF4KD-K562_NT_het_wilcoxon
gene:ENSG00000160194_1	gene:ENSG00000160194	NDUFV3	21	+	gene:ENSG00000160194:s:42896927-42897047	gene:ENSG00000160194_1_AI_3	True	True	42896927-42897047	C2	42903182-42904276	C1_C2_intron	42897048-42903181	6134	False	False	False	0.002	0.001	0.001	0.348	0.424	0.328	0.476	0.017	-0.015	0.016	0.016	0.0	0.016	0.016	0.004	0.004	0.0	0.004	0.011	0.01	0.01	0.01	0.016	0.01	0.009	0.229	0.229	0.02	0.057	-0.006	0.016	0.016	0.033	0.016
gene:ENSG00000160194_1	gene:ENSG00000160194	NDUFV3	21	+	gene:ENSG00000160194:s:42896927-42897047	gene:ENSG00000160194_1_AI_3	True	False	42896927-42897047	C2	42903182-42904276	C1_C2_spliced	42897047-42908864	6134	False	False	True	0.873	0.9	-0.028	0.181	0.424	0.916	0.476	0.625	0.248	0.016	0.016	0.003	0.016	-0.276	0.004	0.004	0.002	0.004	0.658	-0.242	0.01	0.01	0.001	0.01	-0.214	0.029	0.029	0.003	0.029	0.034	0.746	0.992	0.318	0.413
gene:ENSG00000160194_1	gene:ENSG00000160194	NDUFV3	21	+	gene:ENSG00000160194:t:42903182-42904276	gene:ENSG00000160194_1_AI_4	True	True	42903182-42904276	C1	42896927-42897047	C2_C1_intron	42897048-42903181	6134	False	False	False	0.018	0.017	0.001	0.752	0.924	0.434	0.762	0.059	-0.041	0.079	0.143	0.023	0.032	0.041	0.004	0.004	0.003	0.004	0.034	0.017	0.048	0.095	0.027	0.038	0.016	0.229	0.229	0.247	0.343	-0.024	0.079	0.143	0.077	0.063
gene:ENSG00000160194_1	gene:ENSG00000160194	NDUFV3	21	+	gene:ENSG00000160194:t:42903182-42904276	gene:ENSG00000160194_1_AI_4	True	False	42896927-42897047	C1	42896927-42897047	C2_C1_spliced	42893381-42903182	6134	False	False	False	0.103	0.037	0.065	0.348	0.424	0.254	0.257	0.018	0.085	0.016	0.016	0.088	0.016	-0.019	0.357	0.688	0.155	0.429	0.003	-0.034	0.348	0.424	0.095	0.114	-0.099	0.029	0.029	0.073	0.029	-0.015	0.468	0.563	0.349	0.286
gene:ENSG00000160194_1	gene:ENSG00000160194	NDUFV3	21	+	gene:ENSG00000160194:t:42906840-42906902	gene:ENSG00000160194_1_AI_5	True	True	42906840-42906902	C1	42903182-42904276	C2_C1_intron	42904277-42906839	2563	False	False	False								0.105											0.041											-0.064	0.286	0.563	0.154	0.19
gene:ENSG00000160194_1	gene:ENSG00000160194	NDUFV3	21	+	gene:ENSG00000160194:t:42906840-42906902	gene:ENSG00000160194_1_AI_5	True	True	42903182-42904276	C1	42903182-42904276	C2_C1_spliced	42904276-42906840	2563	False	False	False								0.811											0.79											-0.021	0.746	0.992	0.744	1.0
gene:ENSG00000160194_1	gene:ENSG00000160194	NDUFV3	21	+	gene:ENSG00000160194:s:42903182-42904276	gene:ENSG00000160194_1_AI_6	True	True	42903182-42904276	C2	42906840-42906902	C1_C2_intron	42904277-42906839	2563	False	False	False	0.013	0.027	-0.015	0.552	0.424	0.141	0.257	0.055	-0.042	0.079	0.143	0.065	0.032	0.027	0.186	0.238	0.153	0.177	0.03	0.003	0.348	0.424	0.942	1.0	0.018	0.657	0.771	0.327	0.686	-0.025	0.286	0.563	0.191	0.19
gene:ENSG00000160194_1	gene:ENSG00000160194	NDUFV3	21	+	gene:ENSG00000160194:s:42903182-42904276	gene:ENSG00000160194_1_AI_6	True	False	42903182-42904276	C2	42906840-42906902	C1_C2_spliced	42904276-42908864	2563	False	False	True	0.975	0.949	0.026	0.048	0.095	0.029	0.067	0.361	0.614	0.016	0.016	0.0	0.016	-0.588	0.004	0.004	0.0	0.004	0.43	-0.519	0.01	0.01	0.001	0.01	-0.545	0.029	0.029	0.001	0.029	0.069	0.563	0.563	0.561	0.556
gene:ENSG00000160194_1	gene:ENSG00000160194	NDUFV3	21	+	gene:ENSG00000160194:t:42906840-42906902	gene:ENSG00000160194_1_AI_7	True	True	42906840-42906902	C1	42903182-42904276	C2_C1_intron	42904277-42906839	2563	False	False	False								0.105											0.041											-0.064	0.286	0.563	0.154	0.19
gene:ENSG00000160194_1	gene:ENSG00000160194	NDUFV3	21	+	gene:ENSG00000160194:t:42906840-42906902	gene:ENSG00000160194_1_AI_7	True	True	42903182-42904276	C1	42903182-42904276	C2_C1_spliced	42897047-42906840	2563	False	False	False								0.079											0.145											0.066	0.286	0.563	0.714	0.73
gene:ENSG00000116350_1	gene:ENSG00000116350	SRSF4	1	-	gene:ENSG00000116350:t:29160375-29160795	gene:ENSG00000116350_1_AI_1	True	True	29160375-29160795	C1	29165207-29165357	C2_C1_intron	29160796-29165206	4411	False	False	False	0.099	0.054	0.045	0.01	0.01	0.008	0.01	0.101	-0.003	0.746	0.992	0.86	0.905	0.048	0.026	0.048	0.011	0.009	0.083	0.029	0.048	0.095	0.026	0.019	-0.016	0.771	0.771	0.461	0.486	-0.019	0.746	0.992	0.59	0.556
gene:ENSG00000116350_1	gene:ENSG00000116350	SRSF4	1	-	gene:ENSG00000116350:t:29160375-29160795	gene:ENSG00000116350_1_AI_1	True	False	29165207-29165357	C1	29165207-29165357	C2_C1_spliced	29160517-29165890	4411	False	False	False	0.085	0.051	0.034	0.348	0.424	0.292	0.257	0.041	0.045	0.286	0.563	0.179	0.19	-0.01	0.955	0.998	0.584	0.931	0.106	0.056	0.348	0.424	0.288	0.476	0.021	0.657	0.771	0.484	0.686	0.066	0.468	0.563	0.246	0.413
gene:ENSG00000116350_1	gene:ENSG00000116350	SRSF4	1	-	gene:ENSG00000116350:t:29160375-29160795	gene:ENSG00000116350_1_AI_2	True	True	29160375-29160795	C1	29165207-29165357	C2_C1_intron	29160796-29165206	4411	False	False	False	0.099	0.054	0.045	0.01	0.01	0.008	0.01	0.101	-0.003	0.746	0.992	0.86	0.905	0.048	0.026	0.048	0.011	0.009	0.083	0.029	0.048	0.095	0.026	0.019	-0.016	0.771	0.771	0.461	0.486	-0.019	0.746	0.992	0.59	0.556
gene:ENSG00000116350_1	gene:ENSG00000116350	SRSF4	1	-	gene:ENSG00000116350:t:29160375-29160795	gene:ENSG00000116350_1_AI_2	True	False	29165207-29165357	C1	29165207-29165357	C2_C1_spliced	29160517-29181646	4411	False	False	False	0.814	0.884	-0.07	0.048	0.095	0.015	0.038	0.839	-0.025	0.746	0.992	0.284	0.413	-0.045	0.357	0.688	0.111	0.177	0.769	-0.115	0.348	0.424	0.192	0.257	-0.045	0.657	0.771	0.509	1.0	-0.07	0.468	0.563	0.343	0.73
gene:ENSG00000116350_1	gene:ENSG00000116350	SRSF4	1	-	gene:ENSG00000116350:s:29165890-29166064	gene:ENSG00000116350_1_AI_3	True	True	29165890-29166064	C2	29165207-29165357	C1_C2_intron	29165358-29165889	532	False	False	False	0.362							0.644	-0.282	0.4	0.733	0.088	0.267																					
gene:ENSG00000116350_1	gene:ENSG00000116350	SRSF4	1	-	gene:ENSG00000116350:s:29165890-29166064	gene:ENSG00000116350_1_AI_3	True	True	29165890-29166064	C2	29165207-29165357	C1_C2_spliced	29165357-29165890	532	False	False	False	0.109							0.158	-0.049	0.733	0.733	0.581	0.533																					
gene:ENSG00000116350_1	gene:ENSG00000116350	SRSF4	1	-	gene:ENSG00000116350:s:29165890-29166064	gene:ENSG00000116350_1_AI_4	True	True	29165890-29166064	C2	29165207-29165357	C1_C2_intron	29165358-29165889	532	False	False	False	0.362							0.644	-0.282	0.4	0.733	0.088	0.267																					
gene:ENSG00000116350_1	gene:ENSG00000116350	SRSF4	1	-	gene:ENSG00000116350:s:29165890-29166064	gene:ENSG00000116350_1_AI_4	True	False	29165890-29166064	C2	29165207-29165357	C1_C2_spliced	29160517-29165890	532	False	False	False	0.522							0.282	0.24	0.133	0.133	0.04	0.133																					
gene:ENSG00000105426_1	gene:ENSG00000105426	PTPRS	19	-	gene:ENSG00000105426:t:5218420-5218534	gene:ENSG00000105426_1_AI_1	True	False	5218420-5218534	C1	5218787-5218964	C2_C1_intron	5218535-5218786	252	False	False	False	0.064	0.07	-0.006	0.181	0.424	0.475	0.257	0.118	-0.054	0.079	0.143	0.055	0.111	0.048	0.186	0.238	0.162	0.177	0.054	-0.015	0.552	0.424	0.472	0.476	-0.009	0.771	0.771	0.823	0.686	-0.064	0.143	0.143	0.063	0.063
gene:ENSG00000105426_1	gene:ENSG00000105426	PTPRS	19	-	gene:ENSG00000105426:t:5218420-5218534	gene:ENSG00000105426_1_AI_1	True	False	5218787-5218964	C1	5218787-5218964	C2_C1_spliced	5218532-5218787	252	False	False	True	0.648	0.583	0.065	0.01	0.01	0.026	0.01	0.693	-0.045	0.468	0.563	0.195	0.286	0.11	0.004	0.004	0.007	0.004	0.845	0.262	0.01	0.01	0.0	0.01	0.197	0.029	0.029	0.001	0.029	0.152	0.079	0.143	0.008	0.032
gene:ENSG00000105426_1	gene:ENSG00000105426	PTPRS	19	-	gene:ENSG00000105426:t:5218420-5218534	gene:ENSG00000105426_1_AI_2	True	False	5218420-5218534	C1	5218787-5218964	C2_C1_intron	5218535-5218786	252	False	False	False	0.064	0.07	-0.006	0.181	0.424	0.475	0.257	0.118	-0.054	0.079	0.143	0.055	0.111	0.048	0.186	0.238	0.162	0.177	0.054	-0.015	0.552	0.424	0.472	0.476	-0.009	0.771	0.771	0.823	0.686	-0.064	0.143	0.143	0.063	0.063
gene:ENSG00000105426_1	gene:ENSG00000105426	PTPRS	19	-	gene:ENSG00000105426:t:5218420-5218534	gene:ENSG00000105426_1_AI_2	True	True	5218787-5218964	C1	5218787-5218964	C2_C1_spliced	5218532-5219310	252	False	False	True	0.284	0.342	-0.058	0.01	0.01	0.012	0.01	0.19	0.094	0.016	0.016	0.005	0.016	-0.152	0.004	0.004	0.0	0.004	0.101	-0.242	0.01	0.01	0.0	0.01	-0.183	0.029	0.029	0.0	0.029	-0.09	0.016	0.016	0.003	0.016
gene:ENSG00000105426_1	gene:ENSG00000105426	PTPRS	19	-	gene:ENSG00000105426:t:5218787-5218964	gene:ENSG00000105426_1_AI_3	True	False	5218787-5218964	C1	5219299-5219307	C2_C1_intron	5218965-5219298	334	False	False	False	0.094	0.08	0.014	0.752	0.924	0.599	0.914	0.087	0.007	0.746	0.992	0.726	0.556	0.007	0.357	0.688	0.749	0.792	0.051	-0.029	0.01	0.01	0.043	0.01	-0.043	0.029	0.029	0.024	0.029	-0.036	0.016	0.016	0.005	0.016
gene:ENSG00000105426_1	gene:ENSG00000105426	PTPRS	19	-	gene:ENSG00000105426:t:5218787-5218964	gene:ENSG00000105426_1_AI_3	True	False	5219299-5219307	C1	5219299-5219307	C2_C1_spliced	5218798-5219310	334	False	False	False	0.9	0.908	-0.009	0.752	0.924	0.498	0.914	0.871	0.028	0.079	0.143	0.099	0.063	-0.037	0.357	0.688	0.744	0.537	0.939	0.03	0.01	0.01	0.044	0.01	0.039	0.029	0.029	0.022	0.029	0.067	0.016	0.016	0.0	0.016
gene:ENSG00000152601_3	gene:ENSG00000152601	MBNL1	3	+	gene:ENSG00000152601:t:152456267-152456361	gene:ENSG00000152601_3_AI_1	True	True	152456267-152456361	C1	152455542-152455577	C2_C1_intron	152455578-152456266	689	False	False	False	0.047	0.041	0.006	0.937	0.992	0.94	0.905	0.075	-0.028	0.143	0.143	0.064	0.111	0.034	0.079	0.079	0.026	0.032	0.054	0.014	1.0	0.992	0.555	0.73	0.008	1.0	1.0	0.683	0.886	-0.021	0.016	0.016	0.024	0.016
gene:ENSG00000152601_3	gene:ENSG00000152601	MBNL1	3	+	gene:ENSG00000152601:t:152456267-152456361	gene:ENSG00000152601_3_AI_1	True	False	152455542-152455577	C1	152455542-152455577	C2_C1_spliced	152455577-152456267	689	False	False	True	0.574	0.444	0.13	0.016	0.016	0.001	0.016	0.788	-0.214	0.016	0.016	0.0	0.016	0.345	0.008	0.008	0.0	0.008	0.828	0.384	0.016	0.016	0.0	0.016	0.254	0.029	0.029	0.0	0.029	0.04	0.286	0.563	0.114	0.19
gene:ENSG00000152601_3	gene:ENSG00000152601	MBNL1	3	+	gene:ENSG00000152601:t:152456267-152456361	gene:ENSG00000152601_3_AI_2	True	True	152456267-152456361	C1	152455542-152455577	C2_C1_intron	152455578-152456266	689	False	False	False	0.047	0.041	0.006	0.937	0.992	0.94	0.905	0.075	-0.028	0.143	0.143	0.064	0.111	0.034	0.079	0.079	0.026	0.032	0.054	0.014	1.0	0.992	0.555	0.73	0.008	1.0	1.0	0.683	0.886	-0.021	0.016	0.016	0.024	0.016
gene:ENSG00000152601_3	gene:ENSG00000152601	MBNL1	3	+	gene:ENSG00000152601:t:152456267-152456361	gene:ENSG00000152601_3_AI_2	True	False	152455542-152455577	C1	152455542-152455577	C2_C1_spliced	152447773-152456267	689	False	False	True	0.369	0.504	-0.135	0.079	0.143	0.016	0.063	0.124	0.244	0.016	0.016	0.001	0.016	-0.38	0.008	0.008	0.0	0.008	0.117	-0.387	0.016	0.016	0.0	0.016	-0.251	0.029	0.029	0.0	0.029	-0.007	0.746	0.992	0.503	0.73
gene:ENSG00000106603_1	gene:ENSG00000106603	COA1	7	-	gene:ENSG00000106603:t:43650493-43650712	gene:ENSG00000106603_1_AI_1	True	True	43650493-43650712	C1	43656033-43656153	C2_C1_intron	43650713-43656032	5320	False	False	False	0.016	0.015	0.001	0.933	1.0	0.969	1.0	0.028	-0.013	0.286	0.619	0.174	0.381	0.014	0.079	0.143	0.158	0.19	0.016	0.001	0.657	0.771	0.715	0.486	-0.0	0.933	1.0	0.752	1.0	-0.013	0.563	0.563	0.248	0.413
gene:ENSG00000106603_1	gene:ENSG00000106603	COA1	7	-	gene:ENSG00000106603:t:43650493-43650712	gene:ENSG00000106603_1_AI_1	True	False	43656033-43656153	C1	43656033-43656153	C2_C1_spliced	43650712-43656033	5320	False	False	False	0.016	0.015	0.001	0.933	1.0	0.969	1.0	0.169	-0.154	0.095	0.095	0.014	0.095	0.155	0.016	0.016	0.014	0.016	0.191	0.176	0.029	0.029	0.054	0.029	0.175	0.133	0.133	0.054	0.133	0.021	0.746	0.992	0.427	0.556
gene:ENSG00000106603_1	gene:ENSG00000106603	COA1	7	-	gene:ENSG00000106603:t:43650493-43650712	gene:ENSG00000106603_1_AI_2	True	True	43650493-43650712	C1	43656033-43656153	C2_C1_intron	43650713-43656032	5320	False	False	False	0.016	0.015	0.001	0.933	1.0	0.969	1.0	0.028	-0.013	0.286	0.619	0.174	0.381	0.014	0.079	0.143	0.158	0.19	0.016	0.001	0.657	0.771	0.715	0.486	-0.0	0.933	1.0	0.752	1.0	-0.013	0.563	0.563	0.248	0.413
gene:ENSG00000106603_1	gene:ENSG00000106603	COA1	7	-	gene:ENSG00000106603:t:43650493-43650712	gene:ENSG00000106603_1_AI_2	True	False	43656033-43656153	C1	43656033-43656153	C2_C1_spliced	43650712-43729429	5320	False	False	False	0.942	0.92	0.022	0.4	0.733	0.406	0.533	0.806	0.136	0.095	0.095	0.04	0.095	-0.114	0.079	0.143	0.058	0.032	0.749	-0.171	0.029	0.029	0.039	0.029	-0.193	0.133	0.133	0.036	0.133	-0.057	0.286	0.563	0.347	0.19
gene:ENSG00000106603_1	gene:ENSG00000106603	COA1	7	-	gene:ENSG00000106603:s:43656033-43656153	gene:ENSG00000106603_1_AI_3	True	True	43656033-43656153	C2	43650493-43650712	C1_C2_intron	43650713-43656032	5320	False	False	False								0.079											0.077											-0.002	0.229	0.4	0.262	0.229
gene:ENSG00000106603_1	gene:ENSG00000106603	COA1	7	-	gene:ENSG00000106603:s:43656033-43656153	gene:ENSG00000106603_1_AI_3	True	True	43656033-43656153	C2	43650493-43650712	C1_C2_spliced	43648652-43656033	5320	False	False	False								0.376											0.533											0.156	0.229	0.4	0.066	0.114
